Id;Rango Edad;Tipo Contrato;Motivo;Personalidad;Estudiando;Hijos;Nucleo familiar Padres;Nucleo familiar Hermanos;Nucleo familiar Conyuge;Nucleo familiar Hijos;Nucleo familiar Otros;Sector ciudad Vive;Medio de Transporte;Tiempo Desplazamiento residencia turno;Personas viven hogar;Turno pref;Cabeza hogar;Tipo de compania Pref;Tipo Servicios Pref;Catéter Periférico Exp;Colostomía Exp;Discapacidad auditiva Exp;Discapacidad visual Exp;Drenes Exp;Glucometría Exp;Medicación aplicación endovenosa Exp;Nefrostomia Exp;Oxigeno Exp;Sonda Gastrostomía Exp;Sonda Naso gástrica Exp;Sonda Orogástrica Exp;Sonda Vesical Exp;Traqueostomía Exp;Temperamento Pref;Sector de la ciudad Prioridad;Turno Prioridad;Edad del paciente Prioridad;Tipo de transporte Prioridad;Numero de horas Prioridad;Genero del paciente Prioridad;Tiempo que le tomara desplazarse al sitio Prioridad;Enfermedad que padezca Prioridad;Tipo de servicio Prioridad;Tipo de compañía Prioridad;Temperamento del paciente Prioridad;Horarios de estudio Prioridad;Horarios de compromisos personales Prioridad;Nivel de conciencia del paciente  Prioridad;Ayuda que necesite el paciente para realizar actividades Prioridad;Contextura física del paciente Prioridad;Remuneración Pref;Postcirugía estética Exp;Binomio madre recién nacido Pref;Niños Pref;Adultos mayores Pref
1;18 a 25;Prestación de servicios;Vocación y servicio.;Reservado;No;No;Si;Si;Si;No;Si;Sur (San Cristóbal, Usme, Tunjuelito, Antonio Nariño, Rafael Uribe, Sumapaz);Transmilenio;Entre 1 y 2 horas;Mas de 5;Diurno;Sí;Con familiar mayor de edad;IPS;Si;No;No;No;Si;Si;Si;No;Si;Si;Si;No;Si;Si;;Muy Importante;Muy Importante;Importante;Muy Importante;Muy Importante;Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Importante;Muy Importante;Muy Importante;Muy Importante;Importante;80;No;Sí;Sí;Sí
2;18 a 25;Prestación de servicios;Vocación y servicio.;Reservado;Sí;No;Si;Si;Si;No;No;Occidente (Fontibón, Engativá, Suba, Barrios Unidos, Puente Aranda);Transmilenio;Mas de 2 horas;2;Diurno;No;Con un familiar;IPS;Si;Si;Si;No;No;Si;Si;No;Si;Si;Si;Si;Si;No;;Poco importante;Muy Importante;Poco importante;Importante;Poco importante;Nada importante;Importante;Poco importante;Muy Importante;Poco importante;Importante;Importante;Importante;Muy Importante;Poco importante;Poco importante;80;Si;Sí;Sí;Sí
3;35 a 50;Planta;Vocación y servicio.;Hablador;No;Sí;Si;No;No;Si;No;Sur Occidente (Bosa, Kennedy, Ciudad Bolívar);Transmilenio;Entre 1 y 2 horas;3;Cualquiera;Sí;Solo;Clínicas estéticas;Si;Si;Si;No;Si;Si;Si;No;Si;No;Si;Si;Si;Si;;Muy Importante;Importante;Importante;Muy Importante;Muy Importante;Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Importante;Importante;Muy Importante;Muy Importante;Muy Importante;80;Si;Me es indiferente;Me es indiferente;Me es indiferente
4;18 a 25;Prestación de servicios;Vocación y servicio.;Tranquilo;No;Sí;No;No;Si;Si;No;Sur (San Cristóbal, Usme, Tunjuelito, Antonio Nariño, Rafael Uribe, Sumapaz);Transmilenio;Entre 1 y 2 horas;4;Diurno;Sí;Con un familiar;Todas las anteriores;Si;No;No;No;No;Si;Si;No;Si;Si;No;No;Si;No;;Importante;Muy Importante;Importante;Muy Importante;Muy Importante;Importante;Muy Importante;Muy Importante;Importante;Muy Importante;Muy Importante;Importante;Importante;Muy Importante;Muy Importante;Muy Importante;80;No;Sí;Sí;Sí
5;18 a 25;Planta;Vocación y servicio.;Tranquilo;Sí;No;Si;Si;No;No;No;Sur (San Cristóbal, Usme, Tunjuelito, Antonio Nariño, Rafael Uribe, Sumapaz);Motocicleta;Entre 1 y 2 horas;3;Cualquiera;No;Con empleada en el día;Domicilio;Si;Si;Si;No;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;;Muy Importante;Poco importante;Muy Importante;Muy Importante;Muy Importante;Poco importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;Muy Importante;70;No;No;No;Sí
6;35 a 50;Planta;Vocación y servicio.;Reservado;No;Sí;No;Si;No;Si;No;Sur Occidente (Bosa, Kennedy, Ciudad Bolívar);Transmilenio;Entre 1 y 2 horas;2;Diurno;Sí;Con un familiar;Todas las anteriores;No;Si;No;Si;No;Si;Si;No;Si;No;No;No;Si;No;;Muy Importante;Muy Importante;Muy Importante;Importante;Poco importante;Importante;Muy Importante;Muy Importante;Nada importante;Muy Importante;Muy Importante;Importante;Importante;Nada importante;Nada importante;Nada importante;79;Si;Sí;Sí;Sí
7;18 a 25;Prestación de servicios;Vocación y servicio.;Tranquilo;No;Sí;Si;Si;No;Si;No;Norte (Usaquén, Chapinero);Transmilenio;Entre 1 y 2 horas;Mas de 5;Diurno;Sí;Solo;IPS;Si;No;Si;Si;No;Si;No;No;Si;Si;Si;No;Si;Si;;Importante;Muy Importante;Nada importante;Muy Importante;Importante;Nada importante;Poco importante;Nada importante;Importante;Nada importante;Poco importante;Nada importante;Importante;Nada importante;Nada importante;Poco importante;1,6;No;Me es indiferente;No;Sí
8;35 a 50;Planta;Vocación y servicio.;Reservado;No;No;Si;Si;No;No;No;Sur Occidente (Bosa, Kennedy, Ciudad Bolívar);Transmilenio;Entre 1 y 2 horas;4;Diurno;No;Solo;Todas las anteriores;Si;Si;No;No;Si;Si;No;No;Si;Si;Si;Si;Si;Si;;Poco importante;Importante;Poco importante;Poco importante;Muy Importante;Poco importante;Poco importante;Muy Importante;Poco importante;Poco importante;Nada importante;Nada importante;Poco importante;Poco importante;Poco importante;Poco importante;70000;No;Me es indiferente;No;Sí
9;35 a 50;Prestación de servicios;Vocación y servicio.;Tranquilo;No;Sí;No;No;No;Si;No;Sur Occidente (Bosa, Kennedy, Ciudad Bolívar);Transmilenio;Mas de 2 horas;4;Cualquiera;Sí;Con un familiar;Todas las anteriores;Si;Si;No;No;Si;Si;No;Si;Si;Si;Si;No;Si;Si;;Importante;Importante;Importante;Muy Importante;Muy Importante;Importante;Muy Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Muy Importante;90000;Si;Sí;Sí;Sí
10;35 a 50;Planta;Vocación y servicio.;Tranquilo;No;Sí;No;No;Si;Si;No;Occidente (Fontibón, Engativá, Suba, Barrios Unidos, Puente Aranda);Motocicleta;Menos de 30 minutos;5;Cualquiera;Sí;Con empleada permanente;Todas las anteriores;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Muy Importante;Importante;Muy Importante;Muy Importante;Importante;Importante;Muy Importante;Importante;Importante;80000;Si;Sí;Sí;Sí
